id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type,udps.label,udps.flowsimhashvalue
16,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",58592,"125.39.9.36","2c:b2:1a:55:86:07","2c:b2:1a",19302,17,4,0,0,1678200186931,1678200186992,61,2,204,1678200186931,1678200186931,0,1,62,1678200186992,1678200186992,0,1,142,"STUN","Network",1,3,"","","","","","Unspecified","7312651186"
17,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",58602,"125.39.9.36","2c:b2:1a:55:86:07","2c:b2:1a",19302,17,4,0,0,1678200186931,1678200186992,61,2,204,1678200186931,1678200186931,0,1,62,1678200186992,1678200186992,0,1,142,"STUN","Network",1,3,"","","","","","Unspecified","7314355122"
18,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",49377,"125.39.9.36","2c:b2:1a:55:86:07","2c:b2:1a",19302,17,4,0,0,1678200187075,1678200187146,71,2,204,1678200187075,1678200187075,0,1,62,1678200187146,1678200187146,0,1,142,"STUN","Network",1,3,"","","","","","Unspecified","7448891703"
19,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",49387,"125.39.9.36","2c:b2:1a:55:86:07","2c:b2:1a",19302,17,4,0,0,1678200187075,1678200187146,71,2,204,1678200187075,1678200187075,0,1,62,1678200187146,1678200187146,0,1,142,"STUN","Network",1,3,"","","","","","Unspecified","7176327223"
20,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",58598,"27.195.126.57","2c:b2:1a:55:86:07","2c:b2:1a",4480,17,4,0,0,1678200187097,1678200188765,1668,43,6848,1678200187097,1678200188723,1626,23,3618,1678200187146,1678200188765,1619,20,3230,"STUN","Network",0,6,"","","","","","Unspecified","6809414064"
21,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",58596,"58.20.156.33","2c:b2:1a:55:86:07","2c:b2:1a",4480,17,4,0,0,1678200187098,1678200188755,1657,42,6739,1678200187098,1678200188722,1624,23,3616,1678200187146,1678200188755,1609,19,3123,"STUN","Network",0,6,"","","","","","Unspecified","6272395698"
22,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",58606,"139.214.75.101","2c:b2:1a:55:86:07","2c:b2:1a",49823,17,4,0,0,1678200187099,1678200195754,8655,55,9928,1678200187099,1678200195551,8452,28,5458,1678200187146,1678200195754,8608,27,4470,"STUN","Network",0,6,"","","","","","Unspecified","7243525297"
23,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",58612,"125.39.9.36","2c:b2:1a:55:86:07","2c:b2:1a",19302,17,4,0,0,1678200188002,1678200188062,60,2,204,1678200188002,1678200188002,0,1,62,1678200188062,1678200188062,0,1,142,"STUN","Network",1,3,"","","","","","Unspecified","7039627954"
24,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",58622,"125.39.9.36","2c:b2:1a:55:86:07","2c:b2:1a",19302,17,4,0,0,1678200188002,1678200188062,60,2,204,1678200188002,1678200188002,0,1,62,1678200188062,1678200188062,0,1,142,"STUN","Network",1,3,"","","","","","Unspecified","7041856182"
25,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",58610,"123.118.175.113","2c:b2:1a:55:86:07","2c:b2:1a",62404,17,4,0,0,1678200188147,1678200196546,8399,59,9713,1678200188147,1678200196546,8399,30,5186,1678200188178,1678200196545,8367,29,4527,"STUN","Network",0,6,"","","","","","Unspecified","6441879857"
26,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",58614,"1.190.146.228","2c:b2:1a:55:86:07","2c:b2:1a",42785,17,4,0,0,1678200188147,1678200193228,5081,52,8431,1678200188147,1678200193228,5081,26,4329,1678200188212,1678200193228,5016,26,4102,"STUN","Network",0,6,"","","","","","Unspecified","6408817457"
27,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",58632,"125.39.9.36","2c:b2:1a:55:86:07","2c:b2:1a",19302,17,4,0,0,1678200188749,1678200188811,62,2,204,1678200188749,1678200188749,0,1,62,1678200188811,1678200188811,0,1,142,"STUN","Network",1,3,"","","","","","Unspecified","7312389046"
28,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",58642,"125.39.9.36","2c:b2:1a:55:86:07","2c:b2:1a",19302,17,4,0,0,1678200188749,1678200188811,62,2,204,1678200188749,1678200188749,0,1,62,1678200188811,1678200188811,0,1,142,"STUN","Network",1,3,"","","","","","Unspecified","7314617270"
29,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",58642,"119.50.74.214","2c:b2:1a:55:86:07","2c:b2:1a",2775,17,4,0,0,1678200188898,1678200196587,7689,54,9436,1678200188898,1678200196525,7627,27,4995,1678200188914,1678200196587,7673,27,4441,"STUN","Network",0,6,"","","","","","Unspecified","6945720629"
30,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",5904,"106.11.43.158","2c:b2:1a:55:86:07","2c:b2:1a",443,6,4,0,0,1678200189473,1678200189529,56,2,121,1678200189473,1678200189473,0,1,55,1678200189529,1678200189529,0,1,66,"TLS","Web",1,1,"","","","","","web","6945501111"
31,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",5923,"111.123.54.251","2c:b2:1a:55:86:07","2c:b2:1a",443,6,4,0,0,1678200190090,1678200190107,17,2,121,1678200190090,1678200190090,0,1,55,1678200190107,1678200190107,0,1,66,"TLS","Web",1,1,"","","","","","web","6570228918"
32,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",5921,"114.112.207.37","2c:b2:1a:55:86:07","2c:b2:1a",443,6,4,0,0,1678200190254,1678200190301,47,2,121,1678200190254,1678200190254,0,1,55,1678200190301,1678200190301,0,1,66,"TLS","Web",1,1,"","","","","","web","7379827126"
33,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",5933,"49.79.227.164","2c:b2:1a:55:86:07","2c:b2:1a",443,6,4,0,0,1678200190473,1678200190517,44,2,121,1678200190473,1678200190473,0,1,55,1678200190517,1678200190517,0,1,66,"TLS","Web",1,1,"","","","","","web","6698155187"
34,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",4557,"120.241.44.38","2c:b2:1a:55:86:07","2c:b2:1a",10014,6,4,0,0,1678200190489,1678200193491,3002,7,731,1678200190489,1678200193448,2959,3,375,1678200190533,1678200193491,2958,4,356,"TLS","Web",0,6,"","","","","","Web","7346286000"
35,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",58652,"125.39.9.36","2c:b2:1a:55:86:07","2c:b2:1a",19302,17,4,0,0,1678200194699,1678200194749,50,2,204,1678200194699,1678200194699,0,1,62,1678200194749,1678200194749,0,1,142,"STUN","Network",1,3,"","","","","","Unspecified","7040021174"
36,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",58662,"125.39.9.36","2c:b2:1a:55:86:07","2c:b2:1a",19302,17,4,0,0,1678200194699,1678200194760,61,2,204,1678200194699,1678200194699,0,1,62,1678200194760,1678200194760,0,1,142,"STUN","Network",1,3,"","","","","","Unspecified","7042118322"
37,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",58660,"123.116.102.205","2c:b2:1a:55:86:07","2c:b2:1a",49818,17,4,0,0,1678200194842,1678200196135,1293,40,7933,1678200194842,1678200196084,1242,20,4201,1678200194870,1678200196135,1265,20,3732,"STUN","Network",0,6,"","","","","","Unspecified","8411639216"
38,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",58662,"123.146.203.226","2c:b2:1a:55:86:07","2c:b2:1a",9784,17,4,0,0,1678200194842,1678200196107,1265,41,7885,1678200194842,1678200196084,1242,20,4367,1678200194862,1678200196107,1245,21,3518,"STUN","Network",0,6,"","","","","","Unspecified","6639539253"
39,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",58658,"120.201.234.123","2c:b2:1a:55:86:07","2c:b2:1a",11442,17,4,0,0,1678200195114,1678200196859,1745,28,3976,1678200195114,1678200196859,1745,28,3976,0,0,0,0,0,"STUN","Network",0,6,"","","","","","Unspecified","6032877744"
40,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",51772,"192.168.2.1","2c:b2:1a:55:86:07","2c:b2:1a",53,17,4,0,0,1678200196117,1678200196135,18,2,273,1678200196117,1678200196117,0,1,78,1678200196135,1678200196135,0,1,195,"DNS","Network",0,6,"valp.atm.youku.com","","","","","dns","6528167088"
41,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",55562,"124.88.101.196","2c:b2:1a:55:86:07","2c:b2:1a",12611,17,4,0,0,1678200177749,1678200190162,12413,198,28116,1678200177749,1678200190162,12413,198,28116,0,0,0,0,0,"STUN","Network",0,6,"","","","","","Unspecified","7448514865"
42,0,"111.85.58.207","2c:b2:1a:55:86:07","2c:b2:1a",8288,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",55568,17,4,0,0,1678200178036,1678200186982,8946,24,2822,1678200178036,1678200186982,8946,12,1417,1678200178036,1678200186912,8876,12,1405,"STUN","Network",0,6,"","","","","","Unspecified","6631150641"
43,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",49387,"111.197.255.24","2c:b2:1a:55:86:07","2c:b2:1a",3287,17,4,0,0,1678200178328,1678200194630,16302,36,4624,1678200178328,1678200194575,16247,18,2506,1678200178366,1678200194630,16264,18,2118,"STUN","Network",0,6,"","","","","","Unspecified","7356443568"
44,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",49395,"125.39.9.36","2c:b2:1a:55:86:07","2c:b2:1a",19302,17,4,0,0,1678200178995,1678200189110,10115,4,408,1678200178995,1678200189051,10056,2,124,1678200179049,1678200189110,10061,2,284,"STUN","Network",1,3,"","","","","","Unspecified","7449022775"
45,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",49405,"125.39.9.36","2c:b2:1a:55:86:07","2c:b2:1a",19302,17,4,0,0,1678200178995,1678200189122,10127,4,408,1678200178995,1678200189068,10073,2,124,1678200179063,1678200189122,10059,2,284,"STUN","Network",1,3,"","","","","","Unspecified","7448891703"
46,0,"119.0.102.252","2c:b2:1a:55:86:07","2c:b2:1a",443,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",5942,6,4,0,0,1678200179283,1678200179283,0,1,54,1678200179283,1678200179283,0,1,54,0,0,0,0,0,"TLS","Web",1,1,"","","","","","Unspecified","7381810610"
47,0,"192.168.2.115","20:1e:88:5e:a0:9c","20:1e:88",58555,"192.168.2.1","2c:b2:1a:55:86:07","2c:b2:1a",53,17,4,0,0,1678200179414,1678200179435,21,2,264,1678200179414,1678200179414,0,1,74,1678200179435,1678200179435,0,1,190,"DNS.Alibaba","Network",0,6,"yt1.mmstat.com","","","","","dns","6903632183"
